FECHA,HORA,PARAM,ATM,OBL,PIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2016-01-02,00:00,PM10,20.89,14.92,,112.07,30.55,12.19,28.29,10.33,49.11,54.71
2016-01-02,00:00,CO,0.778,0.898,0.424,0.86,1.412,0.214,0.542,0.391,1.207,1.593
2016-01-02,00:00,NO2,0.02228,0.02378,0.00908,0.01518,0.03492,0.00795,0.01502,0.01288,0.03225,0.03177
2016-01-02,00:00,SO2,0.00138,0.00394,,0.00066,0.00253,,0.00237,0.00117,0.00164,0.00326
2016-01-02,01:00,O3,0.01267,0.00788,0.01287,0.01264,0.00255,0.01568,0.0042,0.01927,0.00517,0.00638
2016-01-02,01:00,PM10,16.24,21.93,,58.77,28.41,12.49,16.93,9.93,30.42,59.56
2016-01-02,01:00,CO,0.503,0.623,0.318,0.548,1.284,0.206,0.723,0.385,0.649,0.768
2016-01-02,01:00,NO2,0.01168,0.01417,0.00847,0.0072,0.02987,0.00797,0.01847,0.01587,0.02288,0.02025
2016-01-02,01:00,SO2,0.00133,0.00376,,0.00033,0.00232,,0.00235,0.00123,0.00249,0.00148
2016-01-02,02:00,O3,0.0143,0.01302,0.00747,0.01087,0.00438,0.01533,0.00818,0.00957,0.00427,0.00348
2016-01-02,02:00,PM10,12.94,17.28,,100.55,30.2,13.01,15.14,12.97,20.26,97.55
2016-01-02,02:00,CO,0.418,0.442,0.346,0.443,1.032,0.204,0.764,0.548,0.884,0.869
2016-01-02,02:00,NO2,0.0078,0.00785,0.01252,0.00562,0.02253,0.0064,0.00907,0.01827,0.02367,0.02208
2016-01-02,02:00,SO2,0.00118,0.00377,,0.00012,0.00204,,0.00237,0.0013,0.00244,0.00108
2016-01-02,03:00,O3,0.01547,0.01403,0.00923,0.0088,0.00848,0.017,0.01115,0.00765,0.00713,0.00377
2016-01-02,03:00,PM10,10.33,9.93,,90.93,14.07,12.07,14.03,10.8,22.86,91.2
2016-01-02,03:00,CO,0.374,0.397,0.37,0.557,0.585,0.174,0.849,0.473,0.742,0.829
2016-01-02,03:00,NO2,0.00627,0.0059,0.00932,0.0077,0.0105,0.00343,0.0045,0.01717,0.01743,0.02185
2016-01-02,03:00,SO2,0.00117,0.004,,0.00012,0.00169,,0.00237,0.00115,0.00211,0.00065
2016-01-02,04:00,O3,0.01352,0.0119,0.00407,0.00558,0.00547,0.01775,0.011,0.00692,0.00407,0.0034
2016-01-02,04:00,PM10,7.51,10.27,,98.19,4.95,8.91,12.73,11.35,15.68,123.36
2016-01-02,04:00,CO,0.439,0.432,0.586,0.528,0.58,0.151,0.668,0.523,0.791,0.907
2016-01-02,04:00,NO2,0.00902,0.00778,0.01418,0.00888,0.01672,0.00272,0.00433,0.01588,0.01977,0.02005
2016-01-02,04:00,SO2,0.00122,0.00396,,0.0015,0.00169,,0.00234,0.0011,0.00168,0.00062
2016-01-02,05:00,O3,0.0061,0.00472,0.0021,0.00272,0.00307,0.01238,0.00778,0.0043,0.0026,0.00305
2016-01-02,05:00,PM10,12.47,9.71,,146.2,9.51,6.24,8.94,6.92,18.71,260.12
2016-01-02,05:00,CO,0.945,0.721,0.774,0.961,0.712,0.172,0.53,0.61,0.795,0.991
2016-01-02,05:00,NO2,0.01972,0.0149,0.01508,0.0149,0.02303,0.008,0.00863,0.01807,0.02153,0.02093
2016-01-02,05:00,SO2,0.00138,0.00425,,0.00072,0.00197,,0.00235,0.00115,0.0023,0.00122
