FECHA,HORA,PARAM,ATM,AGU,CEN,PIN,LDO,MIR,OBL,SFE,TLA,VAL
2015-01-02,07:00,PM10,32.83,40.2,57.42,122.91,,116.28,55.18,107.56,89.61,26.11
2015-01-02,07:00,CO,2.628,2.191,,2.544,2.768,2.768,2.177,2.873,2.607,1.396
2015-01-02,07:00,NO2,0.01647,0.02705,0.02265,0.0158,,0.02677,0.02385,0.01578,0.02238,0.03755
2015-01-02,07:00,SO2,0.00267,0.00187,,0.00567,,0.0045,0.00332,0.00357,0.00355,0.00193
2015-01-02,08:00,O3,0.00297,0.002,0.00175,0.00468,,0.00232,0.00593,0.00265,0.00492,0.00382
2015-01-02,08:00,PM10,48.03,49.31,60.78,167.72,,139.64,50.35,134.1,115.25,33.71
2015-01-02,08:00,CO,2.253,1.694,,2.611,2.442,2.442,1.775,3.717,2.58,1.721
2015-01-02,08:00,NO2,0.02123,0.02807,0.02943,0.02147,,0.03325,0.02537,0.02215,0.03163,0.04123
2015-01-02,08:00,SO2,0.00315,0.00137,,0.00523,,0.00587,0.00388,0.00452,0.00367,0.00252
2015-01-02,09:00,O3,0.0093,0.005,0.00792,0.00913,,0.00342,0.01008,0.00723,0.01063,0.00908
2015-01-02,09:00,PM10,65.42,54.45,50.97,121.12,,99.08,61.33,156.9,97.97,39.7
2015-01-02,09:00,CO,1.682,1.711,,1.483,2.851,2.851,1.508,1.435,1.377,1.728
2015-01-02,09:00,NO2,0.03113,0.03632,0.03565,0.02985,,0.05053,0.02618,0.02532,0.03128,0.04793
2015-01-02,09:00,SO2,0.00322,0.00222,,0.005,,0.00478,0.00352,0.00227,0.00405,0.00277
2015-01-02,10:00,O3,0.0188,0.025,0.01612,0.02048,,0.01297,0.01895,0.01612,0.01463,0.02495
2015-01-02,10:00,PM10,70.39,46.91,43.61,102.02,,236.52,64.75,106.88,93.66,42.35
2015-01-02,10:00,CO,1.491,0.447,,0.822,1.356,1.356,1.144,0.839,1.162,0.78
2015-01-02,10:00,NO2,0.03417,0.01672,0.02988,0.02287,,0.0342,0.02313,0.01807,0.03152,0.0195
2015-01-02,10:00,SO2,0.00205,0.00083,,0.005,,0.00372,0.00352,0.0017,0.00335,0.00207
2015-01-02,11:00,O3,0.0289,0.031,0.02322,0.03173,,0.02642,0.03027,0.02183,0.0227,0.0312
2015-01-02,11:00,PM10,52.16,19.94,32.99,49.65,,126.38,48.73,87.94,78.0,29.59
2015-01-02,11:00,CO,0.79,0.371,,0.36,0.551,0.551,0.734,0.6,0.619,0.495
2015-01-02,11:00,NO2,0.0077,0.00527,0.01015,0.00882,,0.00903,0.01523,0.01092,0.01127,0.00633
2015-01-02,11:00,SO2,0.002,0.00097,,0.00478,,0.00137,0.003,0.00102,0.00283,0.0021
2015-01-02,12:00,O3,0.03178,0.031,0.02428,0.03313,,0.02873,0.03183,0.02025,0.02473,0.03142
2015-01-02,12:00,PM10,29.96,22.14,21.77,84.9,,131.03,26.68,68.5,57.61,27.71
2015-01-02,12:00,CO,0.671,0.364,,0.651,0.48,0.48,0.468,0.756,0.609,0.516
2015-01-02,12:00,NO2,0.00258,0.00553,0.01135,0.006,,0.00735,0.00878,0.01145,0.00948,0.00793
2015-01-02,12:00,SO2,0.0023,0.001,,0.0046,,0.001,0.00297,0.0017,0.003,0.0024
2015-01-02,13:00,O3,0.03133,0.031,0.0225,0.03045,,0.02792,0.03217,0.01677,0.02402,0.03217
2015-01-02,13:00,PM10,23.57,20.34,25.32,93.05,,69.77,26.82,72.76,58.28,25.34
2015-01-02,13:00,CO,0.568,0.329,,0.941,0.463,0.463,0.368,1.058,0.599,0.497
2015-01-02,13:00,NO2,0.00241,0.00518,0.01163,0.00815,,0.00793,0.00618,0.01678,0.00903,0.0069
2015-01-02,13:00,SO2,0.00115,0.00055,,0.00468,,0.00102,0.003,0.00195,0.003,0.00183
2015-01-02,14:00,O3,0.02928,0.028,0.02123,0.03058,,0.02563,0.02983,0.01755,0.0227,0.02847
2015-01-02,14:00,PM10,39.32,18.66,28.38,127.37,,44.91,26.64,125.57,66.12,25.9
2015-01-02,14:00,CO,0.284,0.354,,0.238,0.476,0.476,0.408,0.911,0.626,0.525
2015-01-02,14:00,NO2,0.00175,0.00563,0.01058,0.00595,,0.00785,0.00683,0.01332,0.00888,0.00905
2015-01-02,14:00,SO2,0.001,0.00055,,0.00403,,0.001,0.00212,0.00163,0.00265,0.0012
2015-01-02,15:00,O3,0.02765,0.025,0.01972,0.02718,0.0228,0.02497,0.026,0.01547,0.02053,0.02798
2015-01-02,15:00,PM10,27.56,21.01,28.29,100.29,43.21,43.0,31.07,119.43,75.37,27.83
2015-01-02,15:00,CO,0.435,0.373,,0.228,0.42,0.42,0.489,0.812,0.568,0.488
2015-01-02,15:00,NO2,0.00137,0.0081,0.01028,0.007,0.01231,0.00647,0.00992,0.01357,0.00923,0.00725
2015-01-02,15:00,SO2,0.001,0.00125,,0.004,0.00217,0.00098,0.00202,0.00095,0.002,0.0012
2015-01-02,16:00,O3,0.02715,0.027,0.01748,0.02653,0.01907,0.02345,0.02292,0.0144,0.01918,0.02672
2015-01-02,16:00,PM10,27.67,28.48,27.73,105.17,45.26,43.14,31.74,89.39,69.7,35.88
2015-01-02,16:00,CO,0.367,0.306,,0.237,0.454,0.454,0.523,0.656,0.581,0.524
2015-01-02,16:00,NO2,0.00124,0.00598,0.0124,0.00577,0.0156,0.00778,0.01005,0.01285,0.0107,0.00887
2015-01-02,16:00,SO2,0.001,0.00115,,0.004,0.00232,0.00145,0.002,0.00085,0.002,0.00115
2015-01-02,17:00,O3,0.0242,0.025,0.01402,0.02428,0.01552,0.0221,0.02105,0.01468,0.0168,0.02438
2015-01-02,17:00,PM10,11.97,25.09,26.78,80.19,60.14,45.72,32.99,83.35,65.16,22.94
2015-01-02,17:00,CO,0.44,0.313,,0.277,0.503,0.503,0.483,0.545,0.607,0.565
2015-01-02,17:00,NO2,0.0028,0.00568,0.01545,0.00833,0.02112,0.00867,0.01087,0.01185,0.0138,0.0111
2015-01-02,17:00,SO2,0.001,0.0,,0.004,0.00245,0.00145,0.00203,0.00065,0.002,0.00112
2015-01-02,18:00,O3,0.0196,0.02,0.01148,0.0204,0.00832,0.01688,0.01987,0.01148,0.01197,0.0182
2015-01-02,18:00,PM10,36.41,22.17,25.58,101.43,64.6,40.35,28.32,65.76,57.47,28.43
2015-01-02,18:00,CO,0.565,0.387,,0.384,0.611,0.611,0.474,0.952,0.77,0.614
2015-01-02,18:00,NO2,0.00748,0.00888,0.01797,0.01092,0.03117,0.01342,0.01185,0.01588,0.0196,0.01688
2015-01-02,18:00,SO2,0.001,0.00065,,0.004,0.00305,0.00115,0.00198,0.00098,0.002,0.00108
2015-01-02,19:00,O3,0.01312,0.016,0.0065,0.01562,0.0035,0.0084,0.0123,0.00935,0.00813,0.01478
