_id,lat,long,id,nombre,codigo,redesid
5cccf5bee2705c1932820580,21.873311111111,-102.32080277778,31,CBTIS ,CBT,30
5cccf5bee2705c1932820581,21.846391666667,-102.28843055556,32,Secretaría de Medio Ambiente,SMA,30
5cccf5bee2705c1932820582,21.883780555556,-102.295825,33,Centro,CEN,30
5cccf5bee2705c1932820583,32.639722222222,-115.50638888889,39,COBACH,SPABC14,32
5cccf5bee2705c1932820584,32.603638888889,-115.48594444444,41,CESPM,SPABC19,32
5cccf5bee2705c1932820585,32.625972222222,-115.37575,42,UPBC,SPABC22,32
5cccf5bee2705c1932820586,32.353055555556,-117.05611111111,43,Rosarito,SPABC04,33
5cccf5bee2705c1932820587,32.568825,-116.62688055556,44,Tecate,SPABC23,34
5cccf5bee2705c1932820588,32.531008333333,-116.98602777778,45,Tecnológico,SPABC01,35
5cccf5bee2705c1932820589,32.529461111111,-116.92128055556,46,Laboratorio,SPABC21,35
5cccf5bee2705c193282058a,32.4975,-116.97694444444,47,La Mesa,SPABC03,35
5cccf5bee2705c193282058b,16.755277777778,-93.120833333333,50,Palacio Municipal,PMN,37
5cccf5bee2705c193282058c,28.632775,-106.03886694444,53,SUR,SUR,38
5cccf5bee2705c193282058d,28.652227777778,-106.08535833333,54,Centro,CEN,38
5cccf5bee2705c193282058e,28.716083333333,-106.13330555556,55,CIMAV,CIMAV,39
5cccf5bee2705c193282058f,25.522694444444,-103.39580555556,56,CONALEP,CNP,40
5cccf5bee2705c1932820590,19.262127777778,-103.72403333333,57,Tecnologico,TEC,41
5cccf5bee2705c1932820591,24.034472222222,-104.64502777778,58,ITD,ITD,42
5cccf5bee2705c1932820592,24.051555555556,-104.61136111111,59,IPN,IPN,42
5cccf5bee2705c1932820593,24.026777777778,-104.692975,60,SRNyMA,SRN,42
5cccf5bee2705c1932820594,25.551222222222,-103.50252777778,65,Campestre,CAM,43
5cccf5bee2705c1932820595,25.539180555556,-103.52321666667,67,SAGARPA,SAG,44
5cccf5bee2705c1932820596,20.5175,-100.81555555556,68,Policía,POL,45
5cccf5bee2705c1932820597,20.545277777778,-100.80694444444,69,Tecnológico,TEC,45
5cccf5bee2705c1932820598,20.5375,-100.83972222222,70,San Juanico,SJ,45
5cccf5bee2705c1932820599,20.6925,-101.365,71,Sec. Oficial,SEC,46
5cccf5bee2705c193282059a,21.118055555556,-101.60216666667,72,Bomberos,BOM,46
5cccf5bee2705c193282059b,20.658055555556,-101.34888888889,73,Teódula,TEO,46
5cccf5bee2705c193282059c,21.103055555556,-101.63611111111,74,CICEG - Bomberos,CC,47
5cccf5bee2705c193282059d,21.133333333333,-101.68,75,Facultad de Medicina,FM,47
5cccf5bee2705c193282059e,21.108611111111,-101.68861111111,76,T21,T21,47
5cccf5bee2705c193282059f,20.578611111111,-101.19888888889,77,Cruz roja,CR,48
5cccf5bee2705c19328205a0,20.558055555556,-101.20472222222,78,DIF,DIF,48
5cccf5bee2705c19328205a1,20.565,-101.18805555556,79,Nativitas,NAT,48
5cccf5bee2705c19328205a2,20.947777777778,-101.42583333333,80,Hospital General,HG,49
5cccf5bee2705c19328205a3,20.06,-99.221944444444,82,Centro de Salud,ATI,51
5cccf5bee2705c19328205a4,20.006666666667,-99.218888888889,83,Primaria Revolución,ATO,52
5cccf5bee2705c19328205a5,19.771694444444,-98.577694444444,84,Estación de Bomberos de Cd. Sahagún,TEP,53
5cccf5bee2705c19328205a6,20.375111111111,-99.654444444444,85,Hospital,HUI,54
5cccf5bee2705c19328205a7,20.505555555556,-99.580277777778,87,Primaria Melchor Ocampo,TPJ,56
5cccf5bee2705c19328205a8,20.053777777778,-99.340055555556,90,Centro de Salud,CSA,58
5cccf5bee2705c19328205a9,20.120555555556,-98.74,92,Jardín del Maestro,JDN,59
5cccf5bee2705c19328205aa,20.077222222222,-98.777972222222,93,Museo del Rehilete,REH,59
